name, loc, std_item_detection, translation, verification, vcs, total,
insertion_sort,      111, 152526, 815, 5869458, 42, 6138017,
int_operators,      189, 181830, 841, 9961611, 70, 10215118,
int_option,       30, 167812, 368, 3693580, 1, 3910281,
let_type,       19, 157412, 326, 3719741, 2, 3941016,
list_binary_search,       93, 153464, 709, 6564045, 23, 6807975,
map_ops,       40, 159163, 541, 5070656, 31, 5331468,
monoid,       49, 175061, 459, 6493821, 9, 6703414,
mut_clone,       11, 153233, 301, 3580096, 1, 3805549,
mut_local_fields,       55, 173007, 515, 4259425, 6, 4466456,
mut_local_lets,       29, 155642, 382, 3768097, 2, 3993392,
mut_local_params,       26, 171057, 345, 3786326, 3, 4005379,
mut_mem_replace,       60, 154315, 565, 5785704, 26, 6025141,
mut_old,       20, 168931, 430, 3962564, 3, 4188518,
mut_params,        8, 176670, 273, 3263372, 0, 3464025,
mut_ref_borrow_0,       11, 176888, 239, 3625199, 2, 3841977,
mut_ref_borrow_1,       12, 165986, 299, 3616526, 1, 3837147,
mut_ref_borrow_10,       10, 162545, 309, 3762557, 3, 3966905,
mut_ref_borrow_11,       16, 163204, 346, 3915929, 3, 4121831,
mut_ref_borrow_12,       51, 155107, 659, 5539566, 27, 5760666,
mut_ref_borrow_2,       13, 167083, 279, 3637308, 1, 3854891,
mut_ref_borrow_3,       14, 165974, 342, 3672745, 1, 3891732,
mut_ref_borrow_5,       23, 168048, 425, 3948268, 3, 4172339,
mut_ref_borrow_6,       26, 164297, 386, 3446183, 0, 3654735,
mut_ref_borrow_7,       31, 161841, 441, 4038898, 3, 4265504,
mut_ref_borrow_8,       18, 171440, 329, 3865896, 3, 4076829,
mut_ref_borrow_9,       17, 171001, 327, 3926225, 3, 4139113,
mut_ref_clone,       12, 151431, 269, 3605853, 1, 3827353,
mut_ref_immut_borrow,       33, 168864, 318, 3890296, 5, 4108553,
mut_ref_tuple,        9, 171424, 259, 3673635, 1, 3884785,
mut_return,       51, 154249, 596, 4398970, 14, 4618252,
mut_tuple,        8, 177111, 263, 3689233, 1, 3892163,
nested_spec,       16, 174887, 282, 3583461, 2, 3791149,
nested_spec_impl,       20, 168129, 356, 3655802, 2, 3879431,
panic_type,       33, 152008, 459, 4329304, 15, 4556624,
phantom_data,       22, 153262, 383, 3662983, 2, 3878905,
return_stmt,       65, 163183, 506, 5971323, 17, 6206065,
set_ops,       20, 154356, 336, 3547794, 2, 3780849,
spec_on_trait_impl,       22, 178352, 373, 4345305, 3, 4556291,
strings,       39, 158542, 448, 3846335, 4, 4055434,
struct_update,       23, 172445, 284, 3675281, 1, 3877531,
tuple_match,       12, 174070, 308, 3765179, 2, 3980288,
tuple_result,        9, 163106, 327, 3835338, 4, 4040820,
tuples,       44, 172413, 381, 4099523, 5, 4325029,
type_class_call_specs,       18, 177564, 412, 3749549, 2, 3957181,
type_class_multi_lookup,       59, 167762, 558, 5064333, 8, 5290334,
type_class_specs,       28, 176400, 436, 4461892, 5, 4673940,
type_class_without_evidence,       27, 163738, 344, 4395963, 2, 4610949,
use_local,       19, 175090, 479, 4711602, 6, 4929890,
use_std,        9, 172158, 200, 3069830, 0, 3265078,
